	4/06/2018	22/05/2018	0.1501606726
	4/06/2018	23/05/2018	0.1732616651
	4/06/2018	24/05/2018	0.3336934825
	4/06/2018	31/05/2018	0.1266243172
	4/06/2018	8/06/2018	0.2338806088
	5/06/2018	4/06/2018	0.176374905
	5/06/2018	22/05/2018	0.1888440235
	5/06/2018	23/05/2018	0.1567487009
	5/06/2018	24/05/2018	0.2915423981
	5/06/2018	31/05/2018	0.1473833254
	5/06/2018	8/06/2018	0.2527937033
	7/06/2018	11/06/2018	0.1302527557
	7/06/2018	5/06/2018	0.2660644076
	7/06/2018	4/06/2018	0.2553952885
	7/06/2018	22/05/2018	0.3499576945
	7/06/2018	23/05/2018	0.4216523734
	7/06/2018	24/05/2018	0.2615957721
	7/06/2018	31/05/2018	0.27296776
	7/06/2018	8/06/2018	0.1754318568
	11/06/2018	5/06/2018	0.2575504835
	11/06/2018	4/06/2018	0.1742829326
	11/06/2018	22/05/2018	0.2456362275
	11/06/2018	23/05/2018	0.308912456
	11/06/2018	24/05/2018	0.2399762876
	11/06/2018	31/05/2018	0.2276417707
	11/06/2018	8/06/2018	0.1654154827
