2018-05-07	2018-05-17	0.1506191194
2018-05-07	2018-05-16	0.1248498062
2018-05-07	2018-05-10	0.1098443706
2018-05-07	2018-05-30	0.2149952673
2018-05-07	2018-05-29	0.1425192785
2018-05-07	2018-05-08	0.137905409
2018-05-07	2018-05-09	0.07311264893
2018-05-07	2018-06-07	0.2625774191
2018-05-07	2018-06-11	0.2281650066
2018-05-07	2018-06-05	0.1044781491
2018-05-07	2018-06-04	0.2116281412
2018-05-07	2018-05-22	0.1376064482
2018-05-07	2018-05-23	0.07826435537
2018-05-07	2018-05-24	0.2630569626
2018-05-07	2018-05-31	0.1582183792
2018-05-07	2018-06-08	0.2000793647
2018-05-08	2018-05-09	0.1261179691
2018-05-08	2018-06-07	0.2926763469
2018-05-08	2018-06-11	0.2413887075
2018-05-08	2018-06-05	0.1818131145
2018-05-08	2018-06-04	0.2326687505
2018-05-08	2018-05-22	0.179683105
2018-05-08	2018-05-23	0.1292210083
2018-05-08	2018-05-24	0.2790091912
2018-05-08	2018-05-31	0.1820091233
2018-05-08	2018-06-08	0.2769990673
2018-05-09	2018-06-07	0.2726338477
2018-05-09	2018-06-11	0.2491048156
2018-05-09	2018-06-05	0.1439773691
2018-05-09	2018-06-04	0.218025243
2018-05-09	2018-05-22	0.1148986462
2018-05-09	2018-05-23	0.09708073886
2018-05-09	2018-05-24	0.2409087705
2018-05-09	2018-05-31	0.1609536781
2018-05-09	2018-06-08	0.2075249409
2018-05-10	2018-05-30	0.2083564876
2018-05-10	2018-05-29	0.1683987232
2018-05-10	2018-05-08	0.1297280095
2018-05-10	2018-05-09	0.1187078077
2018-05-10	2018-06-07	0.256821576
2018-05-10	2018-06-11	0.2300883264
2018-05-10	2018-06-05	0.1273633912
2018-05-10	2018-06-04	0.185016151
2018-05-10	2018-05-22	0.1939227224
2018-05-10	2018-05-23	0.07932624274
2018-05-10	2018-05-24	0.224485759
2018-05-10	2018-05-31	0.1399118254
2018-05-10	2018-06-08	0.2035254935
2018-05-15	2018-05-07	0.1235538643
2018-05-15	2018-05-17	0.1268919235
2018-05-15	2018-05-16	0.16003448
2018-05-15	2018-05-10	0.1118888173
2018-05-15	2018-05-30	0.2248085187
2018-05-15	2018-05-29	0.2090940056
2018-05-15	2018-05-08	0.1326618516
2018-05-15	2018-05-09	0.1141263864
2018-05-15	2018-06-07	0.3322748995
2018-05-15	2018-06-11	0.2806357797
2018-05-15	2018-06-05	0.1311748174
2018-05-15	2018-06-04	0.1870903886
2018-05-15	2018-05-22	0.1506959501
2018-05-15	2018-05-23	0.06602588661
2018-05-15	2018-05-24	0.3024023354
2018-05-15	2018-05-31	0.1757734946
2018-05-15	2018-06-08	0.2449629465
2018-05-16	2018-05-10	0.1851115822
2018-05-16	2018-05-30	0.2658547329
2018-05-16	2018-05-29	0.2551281429
2018-05-16	2018-05-08	0.1863352
2018-05-16	2018-05-09	0.1427087949
2018-05-16	2018-06-07	0.3148478192
2018-05-16	2018-06-11	0.2917464042
2018-05-16	2018-06-05	0.1448284504
2018-05-16	2018-06-04	0.2678361581
2018-05-16	2018-05-22	0.1721234592
2018-05-16	2018-05-23	0.1349861099
2018-05-16	2018-05-24	0.3681613819
